nid,label,predlnV,predlnM,lnV,lnm,vk,vb,mk,mb,tt
133466_0,FALSE,0.14331055,0.171875,-0.17373784,-0.002738108,0.1433,4.098,0.1719,4.363,10.566667
133466_1,TRUE,0.17614746,0.20092773,0.5193003,0.7925702,0.1761,4.094,0.2009,4.344,10.566667
133570_0,TRUE,0.24609375,0.2758789,0.15260512,0.25287217,0.2461,4.105,0.276,4.41,12.166667
133933_0,TRUE,0.27734375,0.3161621,0.2519574,0.23878191,0.2773,4.082,0.3162,4.45,8.966666
134158_1,TRUE,0.1685791,0.19348145,0.4446858,0.524427,0.1686,4.055,0.1935,4.24,11.9
134170_8,TRUE,0.18408203,0.21044922,0.08987218,0.065528825,0.1841,4.094,0.2104,4.402,9.566667
134275_0,TRUE,0.27734375,0.31518555,0.4519851,0.46551654,0.2773,4.074,0.3152,4.52,12.766666
134354_1,TRUE,0.14978027,0.1776123,2.5072777,2.8234246,0.1498,4.074,0.1776,4.28,12.233334
134388_0,TRUE,0.2849121,0.33203125,0.4737324,0.47676426,0.285,4.04,0.332,4.473,10.4
134503_0,TRUE,0.27441406,0.3137207,0.91128653,1.0129735,0.2744,4.066,0.3137,4.504,14
134559_1,TRUE,0.28393555,0.328125,0.13699545,0.12244199,0.284,4.055,0.3281,4.477,11.9
134563_0,TRUE,0.16455078,0.19055176,0.37117603,0.566492,0.1646,4.098,0.1906,4.457,11.2
200349_0,TRUE,0.15649414,0.18347168,1.3807541,1.2381946,0.1565,4.094,0.1835,4.34,12.166667
200508_3,FALSE,0.2861328,0.33374023,-0.47263113,-0.59307927,0.2861,4.008,0.3337,4.54,13.1
200925_0,TRUE,0.13842773,0.16723633,0.5759649,0.6739582,0.1384,4.1,0.1672,4.44,12.066667
201449_0,TRUE,0.17163086,0.1965332,0.31309178,0.24327512,0.1716,4.098,0.1965,4.363,13
201574_1,TRUE,0.2397461,0.2607422,0.25704512,0.26581278,0.2397,4.082,0.2607,4.492,11.466666
201639_0,TRUE,0.27392578,0.31103516,0.16000633,0.09076288,0.274,4.04,0.311,4.52,12.4
202016_3,TRUE,0.13745117,0.1665039,0.40287778,0.27475417,0.1375,4.09,0.1665,4.32,12.2
202053_0,TRUE,0.2800293,0.32080078,0.3248691,0.4254381,0.28,4.04,0.3208,4.547,11.5
202611_0,TRUE,0.2788086,0.31958008,1.3765506,1.5814801,0.2788,4.07,0.3196,4.484,12.266666
202643_0,TRUE,0.24121094,0.26171875,0.3364722,0.43936294,0.2412,4.09,0.2617,4.492,13.3
202928_0,TRUE,0.2685547,0.30126953,0.27356416,0.15326692,0.2686,4.094,0.3013,4.49,12.833333
203208_1,TRUE,0.1607666,0.18640137,0.6123858,0.7211018,0.1608,4.07,0.1864,4.273,9.566667
203295_6,TRUE,0.27539062,0.31274414,0.3329584,0.21842587,0.2754,4.07,0.3127,4.523,10.966666
203307_0,TRUE,0.14611816,0.17346191,0.61185783,0.67010444,0.1461,4.09,0.1735,4.34,12.533334
100026_2,FALSE,0.15148926,0.17895508,0.011049865,0.16320148,0.1515,4.1,0.179,4.375,12.133333
100206_0,FALSE,0.2836914,0.32617188,-0.011009277,0.10735243,0.2837,4.082,0.3262,4.45,12.166667
100248_6,FALSE,0.25708008,0.2783203,0.07410803,0.08674638,0.257,4.11,0.2783,4.367,12.566667
100471_1,TRUE,0.29248047,0.34545898,0.33364937,0.29467648,0.2925,3.512,0.3455,3.346,10.966666
100888_0,TRUE,0.2927246,0.34423828,0.37796703,0.38894892,0.2927,3.68,0.3442,3.615,12.133333
100888_3,TRUE,0.2861328,0.33374023,0.17195877,0.31618723,0.2861,4.05,0.3337,4.48,12.133333
102747_1,FALSE,0.16662598,0.19372559,-0.051293306,0.055489216,0.1666,4.098,0.1937,4.367,11.866667
104375_0,FALSE,0.29248047,0.34301758,0.13901342,0.115541294,0.2925,3.781,0.343,3.777,13.066667
104441_1,TRUE,0.19665527,0.21826172,0.6471973,0.63139,0.1967,3.97,0.2183,4.082,12.133333
104669_0,FALSE,0.16223145,0.18725586,0.04167269,0.097005434,0.1622,4.047,0.1873,4.227,11.7
104815_0,TRUE,0.29101562,0.3461914,0.36846083,0.2611988,0.291,3.336,0.3462,3.158,13.2
105818_0,FALSE,0.13952637,0.16784668,0.22778393,0.13376433,0.1395,4.09,0.1678,4.33,11.433333
107910_0,FALSE,0.1508789,0.17797852,-0.027398957,0.11076496,0.1509,4.066,0.178,4.27,12.6
107929_0,TRUE,0.29223633,0.34326172,0.7546781,0.64504516,0.2922,3.902,0.3433,4.01,12.166667
108515_0,FALSE,0.14135742,0.16931152,0.19365317,0.17981935,0.1414,4.094,0.1693,4.332,11.866667
108540_0,TRUE,0.15686035,0.18359375,0.54869586,0.6336215,0.1569,4.086,0.1836,4.316,12.266666
109536_0,FALSE,0.28125,0.32104492,0.1630902,0.15168723,0.2812,4.086,0.321,4.4,10.266666
109900_5,TRUE,0.2890625,0.3388672,0.73306084,0.7734345,0.289,4.07,0.3389,4.5,12.033334
109912_10,FALSE,0.14648438,0.17504883,-0.21652834,-0.089230455,0.1465,4.1,0.175,4.402,12.166667
110746_1,TRUE,0.16259766,0.18920898,1.0382166,1.2421199,0.1626,4.09,0.1892,4.32,13.466666
111024_0,FALSE,0.14575195,0.17492676,0.26759526,0.17318621,0.1458,4.086,0.1749,4.316,12.1
111904_4,FALSE,0.14160156,0.17126465,0.13517481,0.1932036,0.1416,4.105,0.1713,4.402,13.166667
112280_7,FALSE,0.15063477,0.17785645,0.13883643,0.20527211,0.1506,4.094,0.1779,4.33,13.533334
112371_3,FALSE,0.15673828,0.18383789,-0.09237335,0.17746605,0.1567,4.055,0.1838,4.24,11.633333
112981_2,FALSE,0.2824707,0.32592773,0.22441666,0.15940732,0.2825,4.055,0.326,4.496,13.066667
114213_0,FALSE,0.14489746,0.1739502,-0.020284677,0.16679275,0.1449,4.09,0.174,4.344,15.7
114282_9,FALSE,0.16809082,0.19262695,0.02941386,0.120489605,0.1681,4.086,0.1926,4.31,12.666667
115036_0,FALSE,0.14526367,0.17114258,0.12883292,0.18908635,0.1453,4.086,0.1711,4.31,12.133333
116058_0,FALSE,0.22265625,0.24536133,0.05455896,0.03327305,0.2227,4.1,0.2454,4.438,8.633333
116305_1,FALSE,0.15197754,0.18017578,-0.016529283,-0.018608745,0.152,4.105,0.1802,4.383,15.366667
116883_1,FALSE,0.14416504,0.17285156,0.16955931,0.087772325,0.1442,4.098,0.1729,4.355,13.933333
117068_4,TRUE,0.1932373,0.21813965,0.28362527,0.3074692,0.1932,4.066,0.2181,4.266,11.2
117209_0,FALSE,0.16821289,0.1940918,-0.0726392,-0.014899978,0.1682,4.094,0.1941,4.457,14.933333
117610_1,FALSE,0.14318848,0.17175293,0.12260229,0.08967842,0.1432,4.105,0.1718,4.395,11.666667
117855_0,FALSE,0.1394043,0.16748047,-0.02915659,0.14870378,0.1394,4.094,0.1675,4.34,10.266666
118033_0,FALSE,0.29296875,0.34204102,0.11874208,0.20173968,0.293,3.848,0.342,3.89,13.366667
118277_0,FALSE,0.14562988,0.17260742,0.18113884,0.07146936,0.1456,4.04,0.1726,4.2,13.533334
118545_1,TRUE,0.28955078,0.33740234,0.32798445,0.3115649,0.2896,4.06,0.3374,4.324,8.4
119236_0,FALSE,0.29223633,0.34155273,0.05233264,0.198756,0.2922,3.4,0.3416,3.273,12.233334
119598_0,FALSE,0.14160156,0.1706543,-0.10265418,0.12245718,0.1416,4.094,0.1707,4.344,12.833333
119777_0,FALSE,0.2841797,0.32885742,0.112453185,0.16355573,0.2842,4.06,0.3289,4.45,12.033334
119820_0,FALSE,0.29003906,0.33642578,-0.0778603,0.055839546,0.29,4.082,0.3364,4.418,10.866667
119820_2,FALSE,0.16394043,0.1907959,-0.084083095,0.004133373,0.164,4.105,0.1908,4.37,10.866667
120169_1,FALSE,0.13769531,0.16540527,0.28768212,0.17445111,0.1377,4.082,0.1654,4.297,11.9
120487_1,FALSE,0.15283203,0.18029785,0.06317889,-0.012101444,0.1528,4.1,0.1803,4.426,6.766667
120573_0,FALSE,0.2878418,0.33374023,-0.10697209,-0.00090491,0.2878,4.062,0.3337,4.473,9.966666
121380_1,FALSE,0.13928223,0.16821289,0,0.09973153,0.1393,4.086,0.1682,4.332,15.233334
121380_3,FALSE,0.13696289,0.1665039,0.1961149,0.03172938,0.137,4.086,0.1665,4.332,15.233334
121532_0,TRUE,0.29223633,0.34350586,0.27058768,0.23524559,0.2922,3.607,0.3435,3.514,12.6
121813_6,FALSE,0.16967773,0.19555664,0.10135251,0.14100425,0.1697,4.1,0.1956,4.426,12.133333
122215_2,FALSE,0.16308594,0.18786621,0.08576686,0.119545355,0.1631,4.074,0.1879,4.273,11.966666
122457_4,TRUE,0.15881348,0.18347168,0.46536326,0.8863034,0.1588,4.023,0.1835,4.17,13.533334
122590_0,TRUE,0.29101562,0.3461914,0.19637187,0.27577347,0.291,3.295,0.3462,3.12,14.7
123247_0,FALSE,0.29101562,0.33862305,-0.13411944,0.19328526,0.291,4.06,0.3386,4.383,11.433333
123247_2,FALSE,0.29248047,0.34277344,-0.30219007,0.004783615,0.2925,3.994,0.3428,4.19,11.433333
123273_0,FALSE,0.29223633,0.34301758,0.24461678,0.10778684,0.2922,4.01,0.343,4.23,9.333333
123810_0,FALSE,0.29125977,0.33984375,0.2528803,0.13506964,0.2913,3.92,0.3398,4.035,11.933333
123810_1,TRUE,0.29101562,0.34277344,0.077483475,0.27063787,0.291,3.777,0.3428,3.848,11.933333
124323_0,TRUE,0.2932129,0.34545898,0.34549192,0.35856417,0.2932,3.34,0.3455,3.117,12.366667
124811_1,FALSE,0.15917969,0.18530273,0.12136085,0.06709625,0.1592,4.074,0.1853,4.29,9.333333
125240_6,FALSE,0.28759766,0.33496094,0.054629955,0.06748633,0.2876,4.062,0.335,4.453,13
125252_3,FALSE,0.15771484,0.18579102,-0.1738469,0.029936006,0.1577,4.082,0.1858,4.32,11.966666
125680_2,FALSE,0.20227051,0.22875977,0.17022116,0.16034353,0.2023,4.094,0.2288,4.355,11.133333
125922_0,FALSE,0.13549805,0.16564941,-0.07302513,0.016475465,0.1355,4.105,0.1656,4.42,12.366667
125996_1,TRUE,0.28759766,0.3347168,0.34518057,0.4751341,0.2876,4.066,0.3347,4.42,13.1
127045_5,FALSE,0.15820312,0.18200684,-0.006734046,0.057324406,0.1582,3.994,0.182,4.117,11.7
127792_0,FALSE,0.13659668,0.16601562,0.20585205,0.11090048,0.1366,4.08,0.166,4.297,12.166667
128014_0,FALSE,0.13879395,0.1685791,0.33493495,0.0635432,0.1388,4.098,0.1686,4.363,12.2
128070_0,FALSE,0.14587402,0.17407227,0.30346596,0.1338879,0.1459,4.082,0.1741,4.31,12.3
128212_0,TRUE,0.28857422,0.33642578,0.44742933,0.6108906,0.2886,4.043,0.3364,4.46,13.466666
128536_2,FALSE,0.26513672,0.2932129,0.19506057,0.12629691,0.2651,4.098,0.2932,4.414,11.466666
128756_1,FALSE,0.13964844,0.16772461,0.16862273,0.1578759,0.1396,4.09,0.1677,4.32,11.933333
128991_0,TRUE,0.2915039,0.33935547,0.38566247,0.45236728,0.2915,4.04,0.3394,4.277,11.933333
129469_3,FALSE,0.14929199,0.17785645,-0.10426098,0.07093814,0.1493,4.094,0.1779,4.344,19.533333
129511_0,TRUE,0.28979492,0.3400879,0.58479816,0.66484296,0.2898,4.07,0.34,4.41,9.566667
129511_2,TRUE,0.2849121,0.3310547,0.36089322,0.4408571,0.285,4.043,0.331,4.47,9.566667
129695_1,TRUE,0.2919922,0.3466797,0.20850183,0.09394334,0.292,3.484,0.3467,3.408,13.966666
130033_0,TRUE,0.28686523,0.3359375,0.96186364,1.0387958,0.2869,4.047,0.336,4.473,11.666667
131092_0,FALSE,0.29248047,0.34106445,0.23269188,0.15014641,0.2925,3.578,0.341,3.492,12.133333
132702_2,FALSE,0.14562988,0.17346191,-0.037457537,0.07104774,0.1456,4.086,0.1735,4.32,11.433333
133324_1,FALSE,0.1430664,0.17077637,0.029852934,0.0753656,0.1431,4.074,0.1708,4.277,13.1
133888_0,FALSE,0.18334961,0.20690918,0.07145892,0.05808519,0.1833,4.07,0.2069,4.273,11.466666
134199_2,FALSE,0.22302246,0.2479248,-0.008333381,0.039729137,0.223,4.1,0.2479,4.39,15.633333
134400_0,FALSE,0.28930664,0.33666992,0.255281,0.17885016,0.2893,4.066,0.3367,4.44,12.366667
134575_0,FALSE,0.2890625,0.3359375,0.062520415,0.14600688,0.289,4.07,0.336,4.4,11.966666
200533_2,FALSE,0.29077148,0.33935547,0.0994855,0.12759855,0.2908,3.982,0.3394,4.156,11.633333
200533_3,FALSE,0.28442383,0.32714844,0.00399197,0.0632194,0.2844,4.08,0.3271,4.32,11.633333
201428_2,FALSE,0.19958496,0.22241211,0.18924204,0.15649648,0.1996,4.11,0.2224,4.41,10.466666
201588_1,FALSE,0.1418457,0.17102051,0.28185117,0.044325713,0.1418,4.098,0.171,4.367,13.4
201980_1,TRUE,0.28686523,0.32910156,0.5785274,0.45323065,0.2869,4.09,0.329,4.406,11.666667
202306_3,FALSE,0.18615723,0.20983887,0.07598596,0.10965755,0.1862,4.086,0.2098,4.31,12.133333
202542_0,FALSE,0.2368164,0.2626953,0.14072767,0.13604897,0.2368,4.098,0.2627,4.37,12.133333
202814_0,TRUE,0.2919922,0.3425293,0.42217395,0.61848307,0.292,3.75,0.3425,3.746,17.9
202814_2,TRUE,0.29077148,0.3383789,-0.01841056,0.36599734,0.2908,4.04,0.3384,4.273,17.9
202841_1,FALSE,0.15783691,0.18554688,-0.028710114,0.016987765,0.1578,4.098,0.1855,4.36,12.833333
202963_8,FALSE,0.25976562,0.28222656,0.008888913,0.040971864,0.2598,4.12,0.2822,4.43,12.9
203473_3,TRUE,0.28955078,0.33862305,0.3460977,0.26394534,0.2896,4.055,0.3386,4.51,12.366667
203725_5,TRUE,0.2890625,0.33618164,0.39187792,0.221672,0.289,4.07,0.3362,4.395,13.4
203759_0,FALSE,0.25732422,0.28686523,-0.27060482,0.019908722,0.2573,4.1,0.2869,4.457,12.9
203764_1,TRUE,0.18945312,0.21472168,0.1468354,0.39341882,0.1895,4.086,0.2147,4.332,15.666667
203996_3,FALSE,0.20776367,0.22875977,0.041499674,0.0488638,0.2078,4.07,0.2288,4.266,12.833333
204353_1,TRUE,0.29296875,0.34594727,0.3611781,0.47405496,0.293,3.363,0.346,3.219,14
204694_0,TRUE,0.2866211,0.33422852,0.42324182,0.5504079,0.2866,4.055,0.3342,4.46,18.366667
204694_1,FALSE,0.1505127,0.17663574,0.17135824,0.049511924,0.1505,4.074,0.1766,4.277,18.366667
205082_3,FALSE,0.2890625,0.33691406,0.10008342,0.010256678,0.289,4.062,0.337,4.426,10.733334
205405_1,FALSE,0.1430664,0.17053223,0.1321718,0.1098667,0.1431,4.098,0.1705,4.35,21.3
205440_1,FALSE,0.14953613,0.17749023,0,0.013780925,0.1495,4.094,0.1775,4.348,12.433333
205452_0,FALSE,0.16064453,0.18566895,0.028987564,0.089622185,0.1606,4.08,0.1857,4.285,12.133333
205795_0,FALSE,0.15258789,0.1796875,0.14705338,0.08851085,0.1526,4.1,0.1797,4.367,13.533334
207396_8,FALSE,0.14160156,0.17053223,0.021819068,0.11359943,0.1416,4.105,0.1705,4.406,9.566667
208401_0,FALSE,0.14758301,0.17529297,0.09237334,0.14987142,0.1476,4.09,0.1753,4.336,11.666667
208401_1,FALSE,0.1385498,0.16809082,-0.020834088,0.12863608,0.1385,4.082,0.1681,4.31,11.666667
208735_3,TRUE,0.17126465,0.19604492,1.477543,1.5725932,0.1713,4.098,0.196,4.39,11.4
209297_1,TRUE,0.20483398,0.22717285,0.81809866,0.80996656,0.2048,4.094,0.2272,4.332,12.6
209834_1,FALSE,0.16455078,0.19018555,0.23638877,0.16446763,0.1646,4.07,0.1902,4.27,8.533334
209968_1,TRUE,0.29223633,0.34399414,0.25800884,0.23088188,0.2922,3.686,0.344,3.625,11.3
210021_0,FALSE,0.14233398,0.1706543,0.069958575,0.17766619,0.1423,4.086,0.1707,4.312,13.233334
210965_1,FALSE,0.18200684,0.20495605,0.06624936,0.06945892,0.182,4.094,0.205,4.332,10.533334
211356_0,FALSE,0.1505127,0.17919922,-0.13353139,-0.016668485,0.1505,4.1,0.1792,4.434,14.366667
212068_0,TRUE,0.28735352,0.33789062,0.06587967,0.053132385,0.2874,3.963,0.338,4.184,11.433333
212718_0,TRUE,0.29296875,0.34545898,0.32112858,0.3228009,0.293,3.406,0.3455,3.227,13.1
212718_1,TRUE,0.29101562,0.3388672,0.39083502,0.33166018,0.291,4.07,0.3389,4.38,13.1
213413_0,TRUE,0.28735352,0.33398438,1.2548213,1.2620784,0.2874,4.055,0.334,4.473,12.333333
213754_1,FALSE,0.14758301,0.17529297,0.045462396,0.022657681,0.1476,4.082,0.1753,4.3,12.066667
214098_15,FALSE,0.1640625,0.18884277,0.4260844,0.18040586,0.1641,4.098,0.1888,4.344,7.3
214377_0,FALSE,0.29052734,0.34155273,0.02713276,0.018343685,0.2905,3.904,0.3416,4.094,11.466666
214457_0,FALSE,0.24987793,0.2709961,0.05924286,-0.044301588,0.2499,4.086,0.271,4.305,8.3
214827_1,FALSE,0.14660645,0.17553711,0.011173298,0.11100727,0.1466,4.094,0.1755,4.457,12.5
214907_2,TRUE,0.2902832,0.34106445,0.2026995,0.3614003,0.2903,4.066,0.341,4.49,12.466666
215319_3,FALSE,0.14074707,0.16955566,-0.09823844,0.012822324,0.1407,4.1,0.1696,4.38,13.066667
